,Member_number,Date,itemDescription,Sales,Year
105,1905,2015-07-07,seasonal products,8.0,2015
106,1905,2015-02-21,sausage,22.35,2015
107,1905,2015-05-19,other vegetables,4.6,2015
108,1905,2015-10-18,onions,5.02,2015
109,1905,2015-07-31,whole milk,8.64,2015
110,1905,2015-07-07,butter,22.26,2015
111,1905,2015-02-21,domestic eggs,11.05,2015
112,1905,2014-04-22,cream cheese ,1.0,2014
113,1905,2014-02-06,butter,9.54,2014
114,1905,2014-01-31,soups,1.74,2014
115,1905,2015-07-31,candy,15.400000000000002,2015
116,1905,2014-08-25,chewing gum,7.0,2014
117,1905,2015-07-07,shopping bags,59.5,2015
118,1905,2015-02-21,seasonal products,2.0,2015
119,1905,2015-10-18,cream cheese ,5.0,2015
120,1905,2014-08-25,yogurt,9.2,2014
121,4783,2015-10-22,hamburger meat,4.9,2015
122,4783,2015-10-10,bottled beer,30.0,2015
123,4783,2015-02-21,cling film/bags,86.24000000000001,2015
124,4783,2015-01-27,sausage,13.41,2015
125,4783,2015-01-06,rolls/buns,2.4,2015
126,4783,2015-10-22,beef,17.34,2015
127,4783,2014-10-05,other vegetables,13.8,2014
128,4783,2014-07-25,other vegetables,27.6,2014
129,4783,2015-10-22,bottled beer,30.0,2015
130,4783,2015-10-10,curd,14.7,2015
131,4783,2015-02-21,whipped/sour cream,5.699999999999999,2015
132,4783,2015-01-27,yogurt,13.8,2015
133,4783,2015-01-06,chewing gum,6.0,2015
134,4783,2015-10-22,whole milk,25.92,2015
135,4783,2014-10-05,rice,13.5,2014
136,4783,2014-07-25,UHT-milk,48.0,2014
137,4783,2015-01-06,other vegetables,23.0,2015
138,4783,2014-10-05,specialty fat,5.1,2014
139,4783,2015-10-22,chocolate,5.09,2015
140,4783,2015-02-21,coffee,5.4,2015
141,4783,2015-10-10,kitchen towels,7.0,2015
142,3709,2015-10-26,root vegetables,2.99,2015
143,3709,2015-08-08,berries,41.46,2015
144,3709,2015-08-09,frankfurter,26.1,2015
145,3709,2015-08-08,pork,2.79,2015
146,3709,2015-10-26,citrus fruit,9.6,2015
147,3709,2015-08-09,pork,13.95,2015
148,3709,2014-01-10,pastry,3.39,2014
149,3709,2014-12-05,pork,5.58,2014
150,3709,2015-08-08,waffles,8.4,2015
151,3709,2015-10-26,other vegetables,32.2,2015
152,3709,2015-08-08,herbs,6.0,2015
153,3709,2015-08-09,pastry,13.56,2015
154,3709,2015-08-08,yogurt,13.8,2015
155,3709,2015-10-26,pork,19.53,2015
156,3709,2015-08-09,canned vegetables,51.1,2015
157,3709,2014-01-10,syrup,2.85,2014
158,3709,2014-12-05,cat food,44.0,2014
159,3709,2015-08-08,specialty cheese,7.3,2015
160,3709,2015-08-08,fruit/vegetable juice,8.84,2015
161,3709,2015-10-26,herbs,21.0,2015
162,3709,2015-08-08,long life bakery product,46.2,2015
163,4272,2015-06-06,coffee,5.4,2015
164,4272,2015-03-22,whole milk,17.28,2015
165,4272,2015-06-06,berries,13.82,2015
166,4272,2014-05-15,margarine,13.56,2014
167,4272,2014-08-14,soda,29.4,2014
168,4272,2014-11-25,napkins,6.56,2014
169,4272,2014-10-05,domestic eggs,8.84,2014
170,4272,2014-06-05,cat food,44.0,2014
171,4272,2014-06-23,other vegetables,9.2,2014
172,4272,2015-06-06,grapes,2.44,2015
173,4272,2015-03-22,whole milk,21.6,2015
174,4272,2015-06-06,cream cheese ,4.0,2015
175,4272,2014-05-15,other vegetables,4.6,2014
176,4272,2014-08-14,UHT-milk,40.0,2014
177,4272,2014-11-25,specialty chocolate,12.6,2014
178,4272,2014-10-05,soda,25.200000000000003,2014
179,4272,2014-06-05,whole milk,4.32,2014
180,4272,2014-06-23,margarine,9.04,2014
181,4272,2014-06-05,whole milk,30.24,2014
182,4272,2014-07-22,pastry,10.17,2014
183,4272,2014-11-25,other vegetables,13.8,2014
184,4272,2014-05-15,bottled water,1.26,2014
185,4272,2014-08-14,pastry,10.17,2014
186,4272,2014-05-15,meat spreads,30.0,2014
187,4272,2014-08-14,domestic eggs,2.21,2014
188,4272,2015-06-06,cat food,22.0,2015
189,4272,2014-07-22,pickled vegetables,3.78,2014
190,2632,2015-02-03,whole milk,17.28,2015
191,2632,2015-01-07,pork,11.16,2015
192,2632,2015-05-24,domestic eggs,6.63,2015
193,2632,2015-01-16,frozen meals,8.0,2015
194,2632,2015-09-23,meat,40.0,2015
195,2632,2015-08-17,citrus fruit,4.800000000000001,2015
196,2632,2015-02-03,sausage,22.35,2015
197,2632,2014-10-12,other vegetables,27.6,2014
198,2632,2014-06-22,beef,40.46,2014
199,2632,2014-08-03,rolls/buns,2.4,2014
200,2632,2015-01-16,rolls/buns,8.4,2015
201,2632,2015-02-03,root vegetables,2.99,2015
202,2632,2015-01-07,coffee,2.7,2015
203,2632,2015-05-24,whipped/sour cream,9.5,2015
204,2632,2015-01-16,butter,6.36,2015
205,2632,2015-09-23,pot plants,30.0,2015
206,2632,2015-08-17,frozen meals,28.0,2015
207,2632,2015-02-03,long life bakery product,46.2,2015
208,2632,2014-10-12,whole milk,30.24,2014
209,2632,2014-06-22,sugar,8.0,2014
210,2632,2014-08-03,frozen vegetables,15.89,2014
211,2632,2015-01-16,fruit/vegetable juice,13.26,2015
212,2632,2015-02-03,frozen vegetables,2.27,2015
213,2632,2015-09-23,canned vegetables,21.9,2015
214,2270,2015-01-07,sausage,26.82,2015
215,2270,2015-11-08,whole milk,30.24,2015
216,2270,2015-09-30,berries,34.55,2015
217,2270,2015-09-06,whole milk,8.64,2015
218,2270,2015-09-06,pastry,3.39,2015
219,2270,2015-04-02,tropical fruit,7.95,2015
220,2270,2015-01-07,whole milk,17.28,2015
221,2270,2014-12-18,tropical fruit,11.13,2014
222,2270,2015-09-06,seasonal products,12.0,2015
223,2270,2015-01-07,misc. beverages,22.0,2015
224,2270,2015-11-08,hygiene articles,40.0,2015
225,2270,2015-09-30,soda,16.8,2015
226,2270,2015-09-06,berries,34.55,2015
227,2270,2015-09-06,long life bakery product,53.9,2015
228,2270,2015-04-02,dish cleaner,4.6,2015
229,2270,2015-01-07,specialty bar,74.0,2015
230,2270,2014-12-18,domestic eggs,6.63,2014
231,2270,2015-09-06,yogurt,9.2,2015
232,2270,2015-09-30,fruit/vegetable juice,4.42,2015
233,2270,2015-01-07,soda,4.2,2015
234,2270,2015-09-06,coffee,8.100000000000001,2015
235,2270,2015-04-02,bottled water,5.04,2015
236,3811,2015-04-14,red/blush wine,15.6,2015
237,3811,2015-06-24,canned beer,19.95,2015
238,3811,2015-11-05,root vegetables,8.97,2015
239,3811,2015-04-14,sausage,31.29,2015
240,3811,2015-11-05,soft cheese,5.99,2015
241,3811,2014-07-07,whole milk,4.32,2014
242,3811,2014-04-19,dessert,10.22,2014
243,3811,2014-07-21,other vegetables,13.8,2014
244,3811,2014-03-23,other vegetables,13.8,2014
245,3811,2015-04-14,soda,8.4,2015
246,3811,2015-06-24,other vegetables,4.6,2015
247,3811,2015-11-05,yogurt,13.8,2015
248,3811,2015-04-14,whole milk,25.92,2015
249,3811,2015-11-05,bottled water,8.82,2015
250,3811,2014-07-07,soda,12.6,2014
251,3811,2014-04-19,pastry,10.17,2014
252,3811,2014-07-21,whole milk,30.24,2014
253,3811,2014-03-23,canned beer,8.55,2014
254,3811,2014-07-21,yogurt,2.3,2014
255,3811,2014-07-21,bottled water,6.3,2014
256,3811,2015-04-14,rolls/buns,7.199999999999999,2015
257,4875,2015-12-05,frozen potato products,21.9,2015
258,4875,2015-11-06,citrus fruit,6.4,2015
259,4875,2015-09-13,flour,6.08,2015
260,4875,2015-08-22,pastry,20.34,2015
261,4875,2015-03-10,tropical fruit,6.36,2015
262,4875,2015-10-26,bottled water,8.82,2015
263,4875,2015-12-05,frankfurter,31.32,2015
264,4875,2015-09-13,grapes,12.2,2015
265,4875,2015-09-13,frankfurter,31.32,2015
266,4875,2015-09-13,bottled beer,30.0,2015
267,4875,2014-05-06,pip fruit,8.96,2014
268,4875,2014-04-15,rolls/buns,7.199999999999999,2014
269,4875,2015-12-05,brown bread,16.0,2015
270,4875,2015-11-06,cream cheese ,5.0,2015
271,4875,2015-09-13,citrus fruit,3.2,2015
272,4875,2015-08-22,red/blush wine,15.6,2015
273,4875,2015-03-10,dessert,1.46,2015
274,4875,2015-10-26,whole milk,4.32,2015
275,4875,2015-12-05,roll products ,4.0,2015
276,4875,2015-09-13,grapes,9.76,2015
277,4875,2015-09-13,other vegetables,18.4,2015
278,4875,2015-09-13,cat food,44.0,2015
279,4875,2014-05-06,chocolate,10.18,2014
280,4875,2014-04-15,bottled beer,30.0,2014
281,4875,2015-08-22,pickled vegetables,8.82,2015
282,4875,2014-04-15,misc. beverages,5.5,2014
283,4875,2015-09-13,frozen vegetables,9.08,2015
284,4875,2015-12-05,detergent,0.33,2015
285,4875,2014-04-15,salt,4.4,2014
286,2022,2015-04-03,herbs,3.0,2015
287,2022,2015-05-02,frankfurter,36.54,2015
288,2022,2015-07-22,sausage,4.47,2015
289,2022,2015-03-06,rolls/buns,3.6,2015
290,2022,2015-04-03,pork,8.370000000000001,2015
291,2022,2015-05-02,fruit/vegetable juice,8.84,2015
292,2022,2015-07-22,beef,11.56,2015
293,2022,2014-02-23,cat food,44.0,2014
294,2022,2014-03-28,curd cheese,31.32,2014
295,2022,2015-04-03,sugar,3.2,2015
296,2022,2015-05-02,hard cheese,11.8,2015
297,2022,2015-07-22,white wine,98.0,2015
298,2022,2015-03-06,other vegetables,9.2,2015
299,2022,2015-04-03,hard cheese,11.8,2015
300,2022,2015-05-02,whole milk,21.6,2015
301,2022,2015-07-22,other vegetables,27.6,2015
302,2022,2014-02-23,yogurt,6.9,2014
303,2022,2014-03-28,newspapers,5.0,2014
304,2022,2015-03-06,soft cheese,17.97,2015
305,2022,2015-05-02,rolls/buns,3.6,2015
306,2022,2015-04-03,long life bakery product,15.4,2015
307,2022,2014-03-28,UHT-milk,16.0,2014
308,2022,2014-02-23,candy,11.0,2014
309,4293,2015-04-08,coffee,16.200000000000003,2015
310,4293,2015-05-07,root vegetables,17.94,2015
311,4293,2015-08-24,fish,4.54,2015
312,4293,2015-09-30,mayonnaise,5.0,2015
313,4293,2015-04-23,other vegetables,13.8,2015
314,4293,2015-04-08,sausage,26.82,2015
315,4293,2015-08-24,sausage,13.41,2015
316,4293,2014-03-28,ham,13.6,2014
317,4293,2014-04-17,specialty chocolate,9.0,2014
318,4293,2015-04-08,bottled water,6.3,2015
319,4293,2015-05-07,rolls/buns,6.0,2015
320,4293,2015-08-24,other vegetables,18.4,2015
321,4293,2015-09-30,misc. beverages,27.5,2015
322,4293,2015-04-23,whole milk,30.24,2015
323,4293,2015-04-08,cream cheese ,7.0,2015
324,4293,2015-08-24,soda,25.200000000000003,2015
325,4293,2014-03-28,mayonnaise,15.0,2014
326,4293,2014-04-17,herbs,3.0,2014
327,4293,2015-09-30,napkins,6.56,2015
328,4293,2015-08-24,rolls/buns,2.4,2015
329,4293,2015-05-07,flower (seeds),85.39999999999999,2015
330,4293,2015-04-23,Instant food products,1.4,2015
331,2560,2015-05-17,sausage,31.29,2015
332,2560,2015-11-26,sausage,26.82,2015
333,2560,2015-07-06,whole milk,4.32,2015
334,2560,2015-06-19,cocoa drinks,84.0,2015
335,2560,2015-05-17,frankfurter,31.32,2015
336,2560,2015-11-26,pork,16.740000000000002,2015
337,2560,2015-11-26,pip fruit,1.28,2015
338,2560,2015-11-26,soda,8.4,2015
339,2560,2014-01-12,shopping bags,59.5,2014
340,2560,2014-04-19,root vegetables,20.93,2014
341,2560,2015-05-17,other vegetables,4.6,2015
342,2560,2015-11-26,beef,23.12,2015
343,2560,2015-07-06,frozen meals,8.0,2015
344,2560,2015-06-19,bottled water,7.56,2015
345,2560,2015-05-17,bottled water,2.52,2015
346,2560,2015-11-26,fruit/vegetable juice,4.42,2015
347,2560,2015-11-26,root vegetables,14.95,2015
348,2560,2015-11-26,berries,41.46,2015
349,2560,2014-01-12,other vegetables,9.2,2014
350,2560,2014-04-19,yogurt,11.5,2014
351,2560,2014-04-19,specialty bar,74.0,2014
352,2560,2015-11-26,misc. beverages,33.0,2015
353,2560,2015-07-06,rolls/buns,4.8,2015
354,2560,2015-06-19,sweet spreads,49.95,2015
355,2990,2015-05-23,whole milk,12.96,2015
356,2990,2015-11-07,grapes,14.64,2015
357,2990,2015-12-08,beef,23.12,2015
358,2990,2015-06-29,frankfurter,26.1,2015
359,2990,2015-05-23,chocolate,35.629999999999995,2015
360,2990,2015-06-29,pastry,13.56,2015
361,2990,2014-04-24,turkey,20.0,2014
362,2990,2014-07-16,turkey,20.0,2014
363,2990,2014-08-15,packaged fruit/vegetables,2.44,2014
364,2990,2014-05-31,cream cheese ,2.0,2014
365,2990,2015-05-23,rolls/buns,8.4,2015
366,2990,2015-11-07,meat spreads,25.0,2015
367,2990,2015-12-08,specialty bar,37.0,2015
368,2990,2015-06-29,canned beer,2.85,2015
369,2990,2015-05-23,brown bread,6.4,2015
370,2990,2015-06-29,pastry,13.56,2015
371,2990,2014-04-24,curd,14.7,2014
372,2990,2014-07-16,kitchen towels,5.0,2014
373,2990,2014-08-15,long life bakery product,38.5,2014
374,2990,2014-05-31,UHT-milk,24.0,2014
375,2990,2014-03-30,rolls/buns,1.2,2014
376,2990,2014-04-24,sugar,3.2,2014
377,2990,2015-11-07,domestic eggs,13.26,2015
378,2990,2014-03-30,long life bakery product,30.8,2014
379,3635,2015-04-09,tropical fruit,4.7700000000000005,2015
380,3635,2015-10-03,other vegetables,23.0,2015
381,3635,2015-04-09,grapes,2.44,2015
382,3635,2015-12-13,pastry,16.95,2015
383,3635,2015-07-23,beef,17.34,2015
384,3635,2015-02-26,whole milk,30.24,2015
385,3635,2015-06-19,finished products,10.66,2015
386,3635,2015-04-09,chocolate marshmallow,14.52,2015
387,3635,2014-12-23,beef,5.78,2014
388,3635,2015-02-26,grapes,7.32,2015
389,3635,2015-04-09,yogurt,16.099999999999998,2015
390,3635,2015-10-03,rolls/buns,4.8,2015
391,3635,2015-04-09,red/blush wine,31.2,2015
392,3635,2015-12-13,sliced cheese,17.8,2015
393,3635,2015-07-23,chocolate,25.45,2015
394,3635,2015-02-26,bottled beer,30.0,2015
395,3635,2015-06-19,newspapers,1.0,2015
396,3635,2015-04-09,brown bread,19.200000000000003,2015
397,3635,2014-12-23,pasta,5.6,2014
398,3635,2015-02-26,frozen dessert,32.9,2015
399,3635,2015-07-23,pastry,16.95,2015
400,3915,2015-05-21,misc. beverages,11.0,2015
401,3915,2015-01-21,frankfurter,31.32,2015
402,3915,2015-05-03,pork,16.740000000000002,2015
403,3915,2015-11-09,whole milk,17.28,2015
404,3915,2015-09-30,frankfurter,31.32,2015
405,3915,2015-05-21,bottled beer,60.0,2015
406,3915,2015-11-09,rolls/buns,1.2,2015
407,3915,2015-05-03,tropical fruit,3.18,2015
408,3915,2014-04-14,pastry,3.39,2014
409,3915,2014-05-12,pip fruit,7.68,2014
410,3915,2014-09-24,other vegetables,4.6,2014
411,3915,2014-11-06,other vegetables,9.2,2014
412,3915,2014-09-08,ham,13.6,2014
413,3915,2015-05-21,other vegetables,32.2,2015
414,3915,2015-01-21,hard cheese,23.6,2015
415,3915,2015-05-03,pip fruit,8.96,2015
416,3915,2015-11-09,canned fruit,2.0,2015
417,3915,2015-09-30,pip fruit,8.96,2015
418,3915,2015-05-21,cream cheese ,5.0,2015
419,3915,2015-11-09,onions,17.57,2015
420,3915,2015-05-03,brown bread,12.8,2015
421,3915,2014-04-14,semi-finished bread,2.5,2014
422,3915,2014-05-12,soda,12.6,2014
423,3915,2014-09-24,shopping bags,83.3,2014
424,3915,2014-11-06,coffee,2.7,2014
425,3915,2014-09-08,bathroom cleaner,8.6,2014
426,3915,2015-09-30,brown bread,19.200000000000003,2015
427,3915,2014-09-24,other vegetables,18.4,2014
428,3915,2014-05-12,domestic eggs,6.63,2014
429,3915,2015-11-09,soda,21.0,2015
430,3915,2015-01-21,bottled beer,10.0,2015
431,4828,2015-08-08,sparkling wine,111.6,2015
432,4828,2015-05-14,whole milk,4.32,2015
433,4828,2015-11-10,rolls/buns,6.0,2015
434,4828,2015-11-10,pork,13.95,2015
435,4828,2015-08-08,whole milk,25.92,2015
436,4828,2014-08-05,beef,17.34,2014
437,4828,2014-10-28,zwieback,30.0,2014
438,4828,2014-08-26,frozen vegetables,6.8100000000000005,2014
439,4828,2014-11-30,root vegetables,5.98,2014
440,4828,2015-11-10,canned beer,14.25,2015
441,4828,2015-08-08,dessert,2.92,2015
442,4828,2015-05-14,whole milk,25.92,2015
443,4828,2015-11-10,root vegetables,14.95,2015
444,4828,2015-11-10,canned beer,11.4,2015
445,4828,2015-08-08,salt,8.8,2015
446,4828,2014-08-05,margarine,11.3,2014
447,4828,2014-10-28,frozen dessert,14.1,2014
448,4828,2014-08-26,fruit/vegetable juice,13.26,2014
449,4828,2014-11-30,salty snack,18.0,2014
450,4828,2015-11-10,shopping bags,35.7,2015
451,4828,2014-10-28,shopping bags,59.5,2014
452,4828,2014-10-28,cream cheese ,6.0,2014
453,4828,2015-11-10,oil,6.6,2015
454,4828,2015-11-10,soda,21.0,2015
455,3221,2015-01-13,curd,12.6,2015
456,3221,2015-06-29,pastry,3.39,2015
457,3221,2015-01-04,beef,28.9,2015
458,3221,2015-01-13,bottled beer,30.0,2015
459,3221,2014-10-28,soda,25.200000000000003,2014
460,3221,2014-01-16,soda,29.4,2014
461,3221,2014-09-09,soda,12.6,2014
462,3221,2014-07-28,soft cheese,23.96,2014
463,3221,2014-01-30,salty snack,3.0,2014
464,3221,2015-01-13,hamburger meat,19.6,2015
465,3221,2015-06-29,soda,4.2,2015
466,3221,2015-01-04,berries,13.82,2015
467,3221,2015-01-13,sweet spreads,19.98,2015
468,3221,2014-10-28,other vegetables,18.4,2014
469,3221,2014-01-16,bottled water,2.52,2014
470,3221,2014-09-09,spices,2.1,2014
471,3221,2014-07-28,rolls/buns,7.199999999999999,2014
472,3221,2014-01-30,chocolate,20.36,2014
473,3221,2014-03-17,fruit/vegetable juice,4.42,2014
474,3221,2015-06-29,pastry,3.39,2015
475,3221,2014-01-16,house keeping products,120.0,2014
476,3221,2014-03-17,fruit/vegetable juice,13.26,2014
477,3221,2014-07-28,detergent,1.32,2014
478,4338,2015-06-24,whole milk,21.6,2015
479,4338,2015-01-25,pip fruit,6.4,2015
480,4338,2015-11-10,pip fruit,2.56,2015
481,4338,2015-06-09,frankfurter,26.1,2015
482,4338,2015-08-27,beverages,6.18,2015
483,4338,2015-03-24,ham,19.040000000000003,2015
484,4338,2015-06-24,rolls/buns,6.0,2015
485,4338,2014-10-25,pip fruit,5.12,2014
486,4338,2014-04-14,tropical fruit,7.95,2014
487,4338,2014-07-07,semi-finished bread,10.0,2014
488,4338,2014-09-10,salty snack,6.0,2014
489,4338,2014-04-21,dessert,10.22,2014
490,4338,2015-08-27,tropical fruit,11.13,2015
491,4338,2015-06-24,other vegetables,4.6,2015
492,4338,2015-01-25,cream cheese ,4.0,2015
493,4338,2015-11-10,napkins,9.84,2015
494,4338,2015-06-09,onions,12.55,2015
495,4338,2015-08-27,ham,19.040000000000003,2015
496,4338,2015-03-24,pickled vegetables,2.52,2015
497,4338,2015-06-24,white bread,4.5,2015
498,4338,2014-10-25,candy,4.4,2014
499,4338,2014-04-14,pudding powder,10.44,2014
500,4338,2014-07-07,salty snack,3.0,2014
501,4338,2014-09-10,pip fruit,7.68,2014
502,4338,2014-04-21,rice,13.5,2014
503,4338,2015-08-27,flour,7.6,2015
504,4338,2014-07-07,waffles,7.199999999999999,2014
505,4338,2014-07-07,frozen dessert,14.1,2014
506,2851,2015-03-16,rolls/buns,2.4,2015
507,2851,2015-09-16,canned beer,2.85,2015
508,2851,2015-01-01,whole milk,21.6,2015
509,2851,2015-02-17,butter,15.9,2015
510,2851,2015-03-16,other vegetables,9.2,2015
511,2851,2015-01-01,white bread,7.5,2015
512,2851,2015-02-17,bottled beer,30.0,2015
513,2851,2014-06-22,bottled beer,50.0,2014
514,2851,2014-11-04,other vegetables,13.8,2014
515,2851,2014-05-05,herbs,15.0,2014
516,2851,2014-11-14,tropical fruit,9.54,2014
517,2851,2015-03-16,curd,6.300000000000001,2015
518,2851,2015-09-16,napkins,16.4,2015
519,2851,2015-01-01,canned beer,5.7,2015
520,2851,2015-02-17,canned beer,5.7,2015
521,2851,2015-03-16,spread cheese,5.0,2015
522,2851,2015-01-01,brown bread,9.6,2015
523,2851,2015-02-17,chewing gum,2.0,2015
524,2851,2014-06-22,whipped/sour cream,11.4,2014
525,2851,2014-11-04,bottled beer,30.0,2014
526,2851,2014-05-05,specialty chocolate,5.4,2014
527,2851,2014-11-14,onions,15.06,2014
528,2851,2014-01-16,rolls/buns,4.8,2014
529,2851,2014-05-05,red/blush wine,15.6,2014
530,2851,2015-03-16,candles,5.97,2015
531,2851,2015-01-01,fruit/vegetable juice,2.21,2015
532,2851,2015-02-17,fruit/vegetable juice,2.21,2015
533,2851,2014-05-05,salad dressing,24.72,2014
534,2851,2014-01-16,misc. beverages,16.5,2014
535,2184,2015-06-30,popcorn,12.0,2015
536,2184,2015-07-12,ham,19.040000000000003,2015
537,2184,2015-01-23,frankfurter,31.32,2015
538,2184,2015-09-06,ham,16.32,2015
539,2184,2015-01-23,soda,29.4,2015
540,2184,2015-09-19,oil,9.9,2015
541,2184,2015-11-05,pork,13.95,2015
542,2184,2015-06-30,pork,5.58,2015
543,2184,2014-12-18,onions,10.04,2014
544,2184,2015-06-30,margarine,13.56,2015
545,2184,2015-07-12,beverages,7.21,2015
546,2184,2015-01-23,other vegetables,27.6,2015
547,2184,2015-09-06,misc. beverages,33.0,2015
548,2184,2015-01-23,rolls/buns,4.8,2015
549,2184,2015-09-19,bottled beer,40.0,2015
550,2184,2015-11-05,curd,2.1,2015
551,2184,2015-06-30,beef,28.9,2015
552,2184,2014-12-18,soda,8.4,2014
553,2184,2014-05-19,shopping bags,59.5,2014
554,2184,2015-06-30,butter,19.08,2015
555,2184,2015-07-12,margarine,9.04,2015
556,2184,2015-01-23,rolls/buns,8.4,2015
557,2184,2015-09-19,yogurt,4.6,2015
558,2184,2014-05-19,whole milk,21.6,2014
559,3361,2015-05-03,tropical fruit,7.95,2015
560,3361,2015-07-22,chocolate,20.36,2015
561,3361,2015-06-21,finished products,15.99,2015
562,3361,2015-06-28,detergent,1.98,2015
563,3361,2015-06-28,other vegetables,4.6,2015
564,3361,2014-07-25,cream cheese ,4.0,2014
565,3361,2014-12-24,pork,5.58,2014
